    dBdt_X    dBdt_Z
-9.99900e+03  7.98307e-11 
-3.61693e-12  6.52814e-11 
-2.12121e-12  5.27582e-11 
-1.01346e-12  4.24307e-11 
-2.14361e-13  3.36864e-11 
 2.65503e-13  2.67505e-11 
 5.45299e-13  2.10193e-11 
 6.66161e-13  1.64076e-11 
 6.83009e-13  1.26090e-11 
 6.26555e-13  9.56748e-12 
 5.31630e-13  7.19933e-12 
 4.22708e-13  5.39057e-12 
 3.22168e-13  4.09015e-12 
 2.33954e-13  3.08778e-12 
 1.60164e-13  2.30916e-12 
 1.02525e-13  1.72266e-12 
 5.95566e-14  1.28080e-12 
 2.90419e-14  9.48362e-13 
 8.87375e-15  7.00073e-13 
-2.76642e-15  5.21457e-13 
-8.70001e-15  3.90840e-13 
-1.12408e-14  2.89941e-13 
-1.15966e-14  2.11642e-13 
-1.05085e-14  1.51534e-13 
-8.65534e-15  1.05647e-13 
-9.99900e+03  1.10815e-09 
-9.99900e+03  7.84743e-10 
-9.99900e+03  6.03736e-10 
-9.99900e+03  4.74572e-10 
-9.99900e+03  3.87348e-10 
-9.99900e+03  3.15380e-10 
-9.99900e+03  2.66823e-10 
-9.99900e+03  2.22493e-10 
-9.99900e+03  1.91136e-10 
-9.99900e+03  1.63537e-10 
-9.99900e+03  1.38315e-10 
-9.99900e+03  1.16932e-10 
-9.99900e+03  9.80780e-11 
-3.84023e-12  8.21165e-11 
-2.05444e-12  6.79942e-11 
-7.73106e-13  5.60137e-11 
 1.27591e-13  4.55540e-11 
 6.57877e-13  3.69395e-11 
 9.62686e-13  2.95890e-11 
 1.08880e-12  2.34677e-11 
 1.09515e-12  1.82607e-11 
 1.01283e-12  1.39514e-11 
 8.79369e-13  1.04952e-11 
 7.22118e-13  7.78810e-12 
 5.69998e-13  5.81052e-12 
 4.30642e-13  4.28194e-12 
 3.09462e-13  3.10258e-12 
 2.10924e-13  2.23075e-12 
 1.34680e-13  1.59370e-12 
 7.86016e-14  1.13283e-12 
 3.99911e-14  8.04855e-13 
 1.63273e-14  5.80979e-13 
 2.84274e-15  4.24862e-13 
-4.56532e-15  3.08773e-13 
-7.97776e-15  2.21478e-13 
-8.67308e-15  1.56371e-13 
-7.79629e-15  1.07840e-13 
-9.99900e+03  1.11740e-09 
-9.99900e+03  7.95262e-10 
-9.99900e+03  6.14350e-10 
-9.99900e+03  4.84742e-10 
-9.99900e+03  3.96726e-10 
-9.99900e+03  3.23728e-10 
-9.99900e+03  2.74225e-10 
-9.99900e+03  2.28847e-10 
-9.99900e+03  1.96639e-10 
-9.99900e+03  1.68250e-10 
-9.99900e+03  1.42283e-10 
-9.99900e+03  1.20254e-10 
-9.99900e+03  1.00827e-10 
-3.15906e-12  8.43815e-11 
-1.45296e-12  6.98353e-11 
-2.48744e-13  5.74995e-11 
 5.76294e-13  4.67343e-11 
 1.03644e-12  3.78729e-11 
 1.27604e-12  3.03154e-11 
 1.34333e-12  2.40252e-11 
 1.29627e-12  1.86775e-11 
 1.16707e-12  1.42548e-11 
 9.94281e-13  1.07105e-11 
 8.05256e-13  7.93708e-12 
 6.29674e-13  5.91353e-12 
 4.72361e-13  4.35131e-12 
 3.37659e-13  3.14757e-12 
 2.29563e-13  2.25915e-12 
 1.46771e-13  1.61115e-12 
 8.63213e-14  1.14327e-12 
 4.49004e-14  8.11013e-13 
 1.95297e-14  5.84702e-13 
